provinceName,provinceAbbreviation,city,confirmed,suspected,cured,dead
湖北省,湖北,武汉,572,0,32,38
湖北省,湖北,黄冈,64,0,0,0
湖北省,湖北,孝感,26,0,0,0
湖北省,湖北,荆门,21,0,0,0
湖北省,湖北,恩施州,11,0,0,0
湖北省,湖北,荆州,10,0,0,0
湖北省,湖北,仙桃,10,0,0,0
湖北省,湖北,十堰,5,0,0,0
湖北省,湖北,随州,5,0,0,0
湖北省,湖北,天门,3,0,0,0
湖北省,湖北,宜昌,1,0,0,1
湖北省,湖北,鄂州,1,0,0,0
广东省,广东,深圳,20,0,2,0
广东省,广东,广州,14,0,0,0
广东省,广东,珠海,10,0,0,0
广东省,广东,佛山,9,0,0,0
广东省,广东,惠州,7,0,0,0
广东省,广东,阳江,5,0,0,0
广东省,广东,韶关,3,0,0,0
广东省,广东,湛江,2,0,0,0
广东省,广东,中山,2,0,0,0
广东省,广东,肇庆,2,0,0,0
广东省,广东,清远,2,0,0,0
广东省,广东,东莞,1,0,0,0
广东省,广东,汕头,1,0,0,0
浙江省,浙江,台州,20,0,0,0
浙江省,浙江,杭州,12,0,0,0
浙江省,浙江,温州,10,0,1,0
浙江省,浙江,宁波,6,0,0,0
浙江省,浙江,绍兴,4,0,0,0
浙江省,浙江,嘉兴,4,0,0,0
浙江省,浙江,舟山,2,0,0,0
浙江省,浙江,金华,2,0,0,0
浙江省,浙江,衢州,2,0,0,0
重庆市,重庆,万州区,10,0,0,0
重庆市,重庆,长寿区,5,0,0,0
重庆市,重庆,开州区,4,0,0,0
重庆市,重庆,巫山县,3,0,0,0
重庆市,重庆,永川区,3,0,0,0
重庆市,重庆,九龙坡区,3,0,0,0
重庆市,重庆,忠县,3,0,0,0
重庆市,重庆,两江新区,3,0,0,0
重庆市,重庆,石柱县,3,0,0,0
重庆市,重庆,垫江县,2,0,0,0
重庆市,重庆,大渡口区,2,0,0,0
重庆市,重庆,渝北区,2,0,0,0
重庆市,重庆,云阳县,2,0,0,0
重庆市,重庆,巫溪县,2,0,0,0
重庆市,重庆,合川区,2,0,0,0
重庆市,重庆,璧山区,2,0,0,0
重庆市,重庆,涪陵区,1,0,0,0
重庆市,重庆,奉节县,1,0,0,0
重庆市,重庆,秀山县,1,0,0,0
重庆市,重庆,梁平区,1,0,0,0
重庆市,重庆,城口县,1,0,0,0
重庆市,重庆,丰都县,1,0,0,0
湖南省,湖南,长沙,8,0,0,0
湖南省,湖南,怀化,5,0,0,0
湖南省,湖南,岳阳,5,0,0,0
湖南省,湖南,娄底,5,0,0,0
湖南省,湖南,永州,4,0,0,0
湖南省,湖南,益阳,4,0,0,0
湖南省,湖南,衡阳,3,0,0,0
湖南省,湖南,常德,3,0,0,0
湖南省,湖南,湘潭,2,0,0,0
湖南省,湖南,邵阳,2,0,0,0
湖南省,湖南,郴州,1,0,0,0
湖南省,湖南,株洲,1,0,0,0
安徽省,安徽,合肥,10,0,0,0
安徽省,安徽,阜阳,7,0,0,0
安徽省,安徽,亳州,4,0,0,0
安徽省,安徽,安庆,4,0,0,0
安徽省,安徽,马鞍山,4,0,0,0
安徽省,安徽,铜陵,3,0,0,0
安徽省,安徽,六安,2,0,0,0
安徽省,安徽,滁州,2,0,0,0
安徽省,安徽,池州,1,0,0,0
安徽省,安徽,蚌埠,1,0,0,0
安徽省,安徽,芜湖,1,0,0,0
北京市,北京,外地来京人员,10,0,0,0
北京市,北京,海淀,6,0,0,0
北京市,北京,朝阳,5,0,0,0
北京市,北京,西城,4,0,0,0
北京市,北京,昌平,3,0,0,0
北京市,北京,大兴,2,0,1,0
北京市,北京,丰台,2,0,0,0
北京市,北京,通州,2,0,0,0
北京市,北京,石景山,1,0,0,0
北京市,北京,顺义,1,0,0,0
河南省,河南,南阳,8,0,0,0
河南省,河南,郑州,6,0,0,0
河南省,河南,信阳,5,0,0,0
河南省,河南,周口,4,0,0,0
河南省,河南,巩义,2,0,0,0
河南省,河南,驻马店,2,0,0,0
河南省,河南,洛阳,1,0,0,0
河南省,河南,三门峡,1,0,0,0
河南省,河南,新乡,1,0,0,0
河南省,河南,平顶山,1,0,0,0
河南省,河南,固始县,1,0,0,0
四川省,四川,成都,16,0,0,0
四川省,四川,广安,2,0,0,0
四川省,四川,绵阳,2,0,0,0
四川省,四川,遂宁,2,0,0,0
四川省,四川,达州,1,0,0,0
四川省,四川,德阳,1,0,0,0
四川省,四川,雅安,1,0,0,0
四川省,四川,自贡,1,0,0,0
四川省,四川,泸州,1,0,0,0
四川省,四川,内江,1,0,0,0
山东省,山东,青岛,6,0,0,0
山东省,山东,威海,3,0,0,0
山东省,山东,临沂,3,0,0,0
山东省,山东,日照,3,0,0,0
山东省,山东,济南,3,0,0,0
山东省,山东,烟台,2,0,0,0
山东省,山东,济宁,2,0,0,0
山东省,山东,潍坊,1,0,0,0
山东省,山东,德州,1,0,0,0
山东省,山东,聊城,1,0,0,0
山东省,山东,滨州,1,0,0,0
山东省,山东,菏泽,1,0,0,0
广西壮族自治区,广西,北海,6,0,0,0
广西壮族自治区,广西,桂林,6,0,0,0
广西壮族自治区,广西,柳州,3,0,0,0
广西壮族自治区,广西,河池,3,0,0,0
广西壮族自治区,广西,防城港,2,0,0,0
广西壮族自治区,广西,梧州,1,0,0,0
广西壮族自治区,广西,百色,1,0,0,0
广西壮族自治区,广西,玉林,1,0,0,0
江西省,江西,抚州,4,0,0,0
江西省,江西,南昌,3,0,0,0
江西省,江西,九江,2,0,0,0
江西省,江西,赣州,2,0,0,0
江西省,江西,上饶,2,0,0,0
江西省,江西,萍乡,1,0,0,0
江西省,江西,新余,1,0,0,0
江西省,江西,吉安,1,0,0,0
江西省,江西,景德镇,1,0,0,0
江西省,江西,宜春,1,0,0,0
福建省,福建,福州,6,0,0,0
福建省,福建,厦门,3,0,0,0
福建省,福建,泉州,3,0,0,0
福建省,福建,漳州,3,0,0,0
福建省,福建,宁德,2,0,0,0
福建省,福建,三明,1,0,0,0
江苏省,江苏,常州,5,0,0,0
江苏省,江苏,南京,4,0,0,0
江苏省,江苏,苏州,3,0,1,0
江苏省,江苏,连云港,1,0,0,0
江苏省,江苏,扬州,1,0,0,0
江苏省,江苏,南通,1,0,0,0
江苏省,江苏,无锡,1,0,0,0
江苏省,江苏,盐城,1,0,0,0
江苏省,江苏,宿迁,1,0,0,0
海南省,海南,三亚,5,0,0,0
海南省,海南,万宁,5,0,0,0
海南省,海南,海口,3,0,0,0
海南省,海南,儋州,3,0,0,0
海南省,海南,临高县,1,0,0,0
辽宁省,辽宁,沈阳,5,0,0,0
辽宁省,辽宁,大连,3,0,0,0
辽宁省,辽宁,朝阳,2,0,0,0
辽宁省,辽宁,铁岭,2,0,0,0
辽宁省,辽宁,葫芦岛,2,0,0,0
辽宁省,辽宁,本溪,1,0,0,0
陕西省,陕西,西安,5,0,0,0
陕西省,陕西,安康,3,0,0,0
陕西省,陕西,铜川,3,0,0,0
陕西省,陕西,咸阳,2,0,0,0
陕西省,陕西,延安,1,0,0,0
陕西省,陕西,商洛,1,0,0,0
黑龙江省,黑龙江,哈尔滨,6,0,0,0
黑龙江省,黑龙江,牡丹江,1,0,0,0
黑龙江省,黑龙江,大庆,1,0,0,0
黑龙江省,黑龙江,绥化,1,0,0,1
河北省,河北,石家庄,4,0,0,0
河北省,河北,沧州,2,0,0,1
河北省,河北,保定,1,0,0,0
河北省,河北,承德,1,0,0,0
山西省,山西,太原,2,0,0,0
山西省,山西,运城,2,0,0,0
山西省,山西,大同,1,0,0,0
山西省,山西,长治,1,0,0,0
云南省,云南,昆明,3,0,0,0
云南省,云南,西双版纳州,1,0,0,0
云南省,云南,丽江市,1,0,0,0
贵州省,贵州,铜仁,2,0,0,0
贵州省,贵州,贵阳,1,0,0,0
贵州省,贵州,黔南州,1,0,0,0
吉林省,吉林,吉林,2,0,0,0
吉林省,吉林,长春,1,0,0,0
吉林省,吉林,松原,1,0,0,0
甘肃省,甘肃,兰州,1,0,0,0
甘肃省,甘肃,白银,1,0,0,0
甘肃省,甘肃,临夏,1,0,0,0
宁夏回族自治区,宁夏,银川,1,0,0,0
宁夏回族自治区,宁夏,中卫,1,0,0,0
宁夏回族自治区,宁夏,固原,1,0,0,0
新疆维吾尔自治区,新疆,乌鲁木齐,3,0,0,0
内蒙古自治区,内蒙古,满洲里,1,0,0,0
内蒙古自治区,内蒙古,锡林郭勒,1,0,0,0
青海省,青海,西宁,1,0,0,0
